,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,NAMELSAD,LSAD,ALAND,AWATER,geometry
8,47,037,010401,2,1500000US470370104012,470370104012,2,Block Group 2,BG,1975643,0,"POLYGON ((-86.71020900000001 36.276858, -86.70972399999999 36.279651, -86.70887999999999 36.285234, -86.707443 36.295089, -86.70528299999999 36.294584, -86.70226099999999 36.296954, -86.70331400000001 36.297761, -86.70019000000001 36.298931, -86.699682 36.29761, -86.693899 36.291017, -86.692848 36.286285, -86.69352499999999 36.286941, -86.69681 36.286963, -86.698629 36.284164, -86.70694 36.27863, -86.70971900000001 36.276128, -86.710567 36.275667, -86.71020900000001 36.276858))"
19,47,037,017100,1,1500000US470370171001,470370171001,1,Block Group 1,BG,338756,0,"POLYGON ((-86.783086 36.12758, -86.78243500000001 36.127576, -86.777888 36.128595, -86.775283 36.129182, -86.774288 36.126655, -86.77674500000001 36.125205, -86.776674 36.124984, -86.778001 36.124697, -86.778497 36.124587, -86.781323 36.123913, -86.783686 36.12319, -86.783086 36.12758))"
22,47,037,015622,2,1500000US470370156222,470370156222,2,Block Group 2,BG,2512816,0,"POLYGON ((-86.593699 36.186228, -86.592539 36.192449, -86.591157 36.195023, -86.59289 36.197203, -86.592032 36.199742, -86.59159099999999 36.201402, -86.591613 36.201857, -86.58683000000001 36.200375, -86.587766 36.202831, -86.585121 36.202101, -86.582768 36.200617, -86.58250200000001 36.200075, -86.578028 36.197496, -86.576695 36.197411, -86.57607 36.195775, -86.57562 36.194597, -86.579189 36.194294, -86.581947 36.191659, -86.58147700000001 36.191358, -86.58238299999999 36.186277, -86.58183099999999 36.182578, -86.582356 36.178969, -86.587591 36.18162, -86.58980699999999 36.18105, -86.59146800000001 36.182089, -86.594973 36.182711, -86.593699 36.186228))"
28,47,037,010501,3,1500000US470370105013,470370105013,3,Block Group 3,BG,538710,0,"POLYGON ((-86.649736 36.257514, -86.643109 36.257141, -86.640748 36.254532, -86.642003 36.250972, -86.640855 36.250214, -86.642627 36.248512, -86.649894 36.253883, -86.649736 36.257514))"
33,47,037,011002,1,1500000US470370110021,470370110021,1,Block Group 1,BG,1261699,0,"POLYGON ((-86.747168 36.233451, -86.742195 36.23889, -86.741271 36.238613, -86.73814400000001 36.237848, -86.731863 36.237223, -86.73033599999999 36.23703, -86.728748 36.236529, -86.72971800000001 36.234009, -86.731368 36.229633, -86.73771499999999 36.22961, -86.747659 36.230666, -86.747168 36.233451))"
34,47,037,019501,2,1500000US470370195012,470370195012,2,Block Group 2,BG,240806,0,"POLYGON ((-86.799299 36.147967, -86.799127 36.148657, -86.79289300000001 36.154271, -86.791369 36.152205, -86.79141 36.151938, -86.792231 36.148384, -86.793482 36.148505, -86.797471 36.148901, -86.79793600000001 36.148683, -86.79815000000001 36.147366, -86.79938799999999 36.147438, -86.799299 36.147967))"
44,47,037,014300,1,1500000US470370143001,470370143001,1,Block Group 1,BG,505970,0,"POLYGON ((-86.81967299999999 36.163232, -86.816067 36.167338, -86.812763 36.169124, -86.80959799999999 36.165502, -86.808751 36.162551, -86.811724 36.162129, -86.815172 36.162343, -86.81926900000001 36.16163, -86.81967299999999 36.163232))"
57,47,037,010601,4,1500000US470370106014,470370106014,4,Block Group 4,BG,596365,0,"POLYGON ((-86.673635 36.240784, -86.670697 36.244404, -86.669394 36.246843, -86.66816900000001 36.246702, -86.666363 36.243148, -86.667475 36.242118, -86.66573 36.239381, -86.66106000000001 36.23762, -86.6704 36.235078, -86.670772 36.236411, -86.67141599999999 36.239671, -86.673635 36.240784))"
73,47,037,016400,2,1500000US470370164002,470370164002,2,Block Group 2,BG,246572,0,"POLYGON ((-86.800758 36.137572, -86.800591 36.13884, -86.797349 36.13851, -86.79657400000001 36.139076, -86.795005 36.140936, -86.79364200000001 36.140742, -86.79451400000001 36.136325, -86.79515600000001 36.136579, -86.797642 36.135372, -86.800985 36.135719, -86.800758 36.137572))"
76,47,037,011200,2,1500000US470370112002,470370112002,2,Block Group 2,BG,581203,0,"POLYGON ((-86.73609999999999 36.206983, -86.735293 36.207959, -86.73470500000001 36.208708, -86.73456400000001 36.208887, -86.733937 36.209784, -86.731206 36.209507, -86.724898 36.208364, -86.723659 36.208556, -86.722814 36.207194, -86.72444 36.204767, -86.72623900000001 36.20398, -86.72634600000001 36.203956, -86.732185 36.204489, -86.737622 36.205028, -86.73609999999999 36.206983))"
77,47,037,019121,2,1500000US470370191212,470370191212,2,Block Group 2,BG,1439639,0,"POLYGON ((-86.703418 36.019635, -86.702151 36.020463, -86.70237 36.022736, -86.699872 36.023535, -86.699037 36.021706, -86.697732 36.024012, -86.695258 36.026291, -86.689775 36.025363, -86.68808 36.023432, -86.68607299999999 36.023186, -86.686487 36.021279, -86.687909 36.021159, -86.689132 36.01942, -86.68915 36.017623, -86.690422 36.015976, -86.692725 36.016743, -86.693298 36.011873, -86.69759999999999 36.012684, -86.700737 36.015599, -86.70288600000001 36.018468, -86.703418 36.019635))"
78,47,037,015623,2,1500000US470370156232,470370156232,2,Block Group 2,BG,676041,0,"POLYGON ((-86.613314 36.187462, -86.611951 36.187628, -86.61048599999999 36.186414, -86.60936599999999 36.184007, -86.607889 36.183166, -86.601922 36.182262, -86.59959000000001 36.183439, -86.594973 36.182711, -86.595287 36.179832, -86.59452400000001 36.175794, -86.595168 36.175951, -86.603647 36.179908, -86.604181 36.177302, -86.60678 36.18098, -86.608058 36.182212, -86.61245599999999 36.184864, -86.613584 36.187023, -86.613314 36.187462))"
80,47,037,010501,2,1500000US470370105012,470370105012,2,Block Group 2,BG,594474,317233,"POLYGON ((-86.64961700000001 36.264069, -86.647763 36.264084, -86.64693699999999 36.267098, -86.64545200000001 36.267157, -86.64547399999999 36.265108, -86.641251 36.265033, -86.639095 36.255105, -86.636633 36.254228, -86.640855 36.250214, -86.642003 36.250972, -86.640748 36.254532, -86.643109 36.257141, -86.649736 36.257514, -86.64961700000001 36.264069))"
90,47,037,019200,3,1500000US470370192003,470370192003,3,Block Group 3,BG,353367,0,"POLYGON ((-86.752753 36.171232, -86.746813 36.170823, -86.747226 36.167789, -86.747474 36.166082, -86.746844 36.163027, -86.74994599999999 36.162355, -86.74988399999999 36.167717, -86.75257499999999 36.168125, -86.75429099999999 36.170654, -86.752753 36.171232))"
93,47,037,015502,3,1500000US470370155023,470370155023,3,Block Group 3,BG,1442996,0,"POLYGON ((-86.665415 36.154047, -86.66499899999999 36.156559, -86.66459 36.159075, -86.65303 36.163893, -86.651358 36.162632, -86.652547 36.1593, -86.654027 36.158784, -86.65084299999999 36.153421, -86.652917 36.153179, -86.6563 36.149883, -86.658637 36.149895, -86.666563 36.150712, -86.665415 36.154047))"
101,47,037,014200,2,1500000US470370142002,470370142002,2,Block Group 2,BG,632914,0,"POLYGON ((-86.81129 36.169483, -86.80688600000001 36.170097, -86.806625 36.169469, -86.804647 36.169972, -86.802649 36.169063, -86.802438 36.166905, -86.79986100000001 36.164919, -86.80254100000001 36.163763, -86.80337900000001 36.162765, -86.807588 36.161369, -86.810502 36.159211, -86.808888 36.16078, -86.808751 36.162551, -86.80959799999999 36.165502, -86.812763 36.169124, -86.81129 36.169483))"
104,47,037,011400,3,1500000US470370114003,470370114003,3,Block Group 3,BG,556686,0,"POLYGON ((-86.747978 36.200245, -86.74882599999999 36.200471, -86.746375 36.204388, -86.73853200000001 36.203552, -86.74225199999999 36.196665, -86.742598 36.196021, -86.749107 36.198255, -86.747978 36.200245))"
