,GEOID,park_no,common_nam,year_estab
3559,470370101031,,,
3137,470370101032,14,Paradise Ridge,2013
3136,470370101041,27,Whites Creek,1978
3136,470370101041,9,Joelton,1989
3136,470370101041,4,Beaman,1996
2609,470370101042,4,Beaman,1996
1643,470370101051,156,Alex Green School Playground,2002
2611,470370101052,,,
1275,470370101053,103,Kings Lane School Playground,2002
3356,470370101061,129,Ewing Park Tennis Courts,0
3356,470370101061,285,Whites Creek Community Garden,2014
3356,470370101061,279,Whites Creek Greenway - Fontanel,2014
3580,470370101062,,,
2610,470370102011,27,Whites Creek,1978
2610,470370102011,144,Old Center School Playground,2002
2674,470370102012,,,
2675,470370102013,66,Cedar Hill,1965
3183,470370102021,,,
2693,470370102022,,,
3776,470370102023,,,
2668,470370103011,,,
1616,470370103012,,,
2831,470370103021,,,
3536,470370103022,,,
2830,470370103031,,,
1947,470370103032,,,
412,470370103033,,,
2630,470370104011,153,Amquie School Playground,2002
8,470370104012,,,
3134,470370104013,,,
4503,470370104031,89,Madison,1988
1236,470370104032,,,
3849,470370104033,,,
1292,470370104041,,,
408,470370104042,,,
4020,470370105011,134,Dupont School Playground,2002
4020,470370105011,178,Old Hickory Arts,2013
4020,470370105011,177,Old Hickory Community Center,2013
4020,470370105011,175,Veterans,2013
4020,470370105011,176,Old Hickory,2013
80,470370105012,179,12th Street Ballfield,2013
28,470370105013,173,Old Hickory Baseball,2013
28,470370105013,174,Rachel's Walk,2013
418,470370105014,170,Crooked Branch,2012
1508,470370105015,176,Old Hickory,2013
2681,470370105021,,,
553,470370105022,99,Lakewood,2011
553,470370105022,170,Crooked Branch,2012
3590,470370105023,170,Crooked Branch,2012
2835,470370106011,96,Peeler,1965
1011,470370106012,135,Neely's Bend School Playground,2002
2680,470370106013,,,
57,470370106014,,,
572,470370106021,136,Neely's Bend Tennis Courts,0
2679,470370106022,,,
799,470370107011,,,
571,470370107012,,,
860,470370107013,,,
1159,470370107014,,,
1421,470370107021,,,
2836,470370107022,,,
1428,470370108011,,,
1010,470370108012,133,Stratton School Playground,2002
3693,470370108013,,,
3527,470370108021,,,
4474,470370108022,,,
570,470370108023,,,
2676,470370109011,,,
569,470370109012,147,Chadwell School Playground,2002
4019,470370109031,,,
824,470370109032,61,Willow Creek,2003
920,470370109033,274,Smithson School Playground,2002
3929,470370109041,60,Parkwood,1973
3834,470370109042,,,
4501,470370110011,,,
2673,470370110012,,,
1875,470370110013,,,
568,470370110014,137,Maplewood Tennis Courts,0
1154,470370110015,52,Oakwood,1983
33,470370110021,,,
559,470370110022,,,
892,470370111001,104,Dan Mills School Playground,2002
560,470370111002,,,
3201,470370111003,84,Litton,1995
869,470370112001,,,
76,470370112002,,,
1093,470370112003,,,
3859,470370112004,,,
2660,470370113001,72,Tom Joy,1991
2480,470370113002,106,Schwab School Playground,2002
558,470370113003,72,Tom Joy,1991
558,470370113003,149,Tom Joy School Playground,2002
757,470370114001,83,South Inglewood,1972
891,470370114002,,,
104,470370114003,,,
2013,470370114004,,,
2705,470370115001,163,Stratford Tennis Courts,0
578,470370115002,82,Shelby Bottoms,1997
2621,470370115003,,,
3342,470370115004,82,Shelby Bottoms,1997
3342,470370115004,195,Cumberland River Greenway - SB trailhead,2001
2678,470370116001,82,Shelby Bottoms,1997
588,470370116002,113,Rosebank School Playground,2002
1871,470370116003,,,
3369,470370116004,,,
1857,470370116005,,,
1307,470370117001,,,
167,470370117002,,,
4049,470370117003,159,Cora Howe School Playground,2002
828,470370117004,79,Eastland,1953
2661,470370117005,,,
1205,470370117006,112,Hattie Cotton School Playground,2002
4048,470370117007,,,
2662,470370118001,71,Cleveland,1963
131,470370118002,,,
698,470370118003,64,McFerrin,1920
1251,470370119001,69,Douglas,1963
1283,470370119002,21,East Jr. Tennis Courts,0
1283,470370119002,167,Ross School Playground,2002
1009,470370121001,,,
3138,470370121002,81,Shelby,1912
3138,470370121002,80,Lockeland Springs,2013
743,470370122001,81,Shelby,1912
743,470370122001,67,Shelby Walk,1996
743,470370122001,82,Shelby Bottoms,1997
110,470370122002,81,Shelby,1912
110,470370122002,76,Bass,1921
697,470370126001,,,
2632,470370127011,,,
2682,470370127012,,,
573,470370127013,,,
1155,470370127014,,,
2840,470370127021,43,Lock One,1969
1091,470370127022,,,
224,470370128011,25,Bordeaux-Timothy,1980
224,470370128011,22,Mullins,2012
810,470370128012,16,Hartman,1964
810,470370128012,205,Whites Creek Greenway - Hartman Park,2004
810,470370128012,203,Whites Creek Greenway - Hartman Park,2004
810,470370128012,204,Whites Creek Greenway - Hartman Park,2005
810,470370128012,206,Whites Creek Greenway - Hartman Park,2006
810,470370128012,22,Mullins,2012
1153,470370128013,16,Hartman,1964
1153,470370128013,205,Whites Creek Greenway - Hartman Park,2004
1153,470370128013,203,Whites Creek Greenway - Hartman Park,2004
1153,470370128013,204,Whites Creek Greenway - Hartman Park,2005
1153,470370128013,206,Whites Creek Greenway - Hartman Park,2006
3835,470370128014,16,Hartman,1964
777,470370128021,11,Bordeaux Garden,1964
564,470370128022,,,
3176,470370128023,11,Bordeaux Garden,1964
3176,470370128023,121,County Cemetery,1976
2487,470370130011,,,
2477,470370130021,,,
4247,470370131001,4,Beaman,1996
4041,470370131002,57,Jordonia School Playground,2002
4041,470370131002,3,Bells Bend,2007
790,470370132011,,,
4279,470370132012,143,Charlotte School Playground,2002
3546,470370132021,,,
1731,470370132022,8,Charlotte,1964
1208,470370132023,,,
2667,470370133001,10,West,1952
2667,470370133001,18,England,2014
3696,470370133002,,,
211,470370133003,116,Cockrill School Playground,2002
1041,470370133004,,,
565,470370134001,,,
2688,470370134002,23,McCabe,1938
2688,470370134002,267,Richland Creek Creenway -McCabe Loop,2004
2688,470370134002,265,Richland Creek Creenway - White Bridge Connector,2006
2688,470370134002,262,Richland Creek Creenway - White Bridge Connector,2006
2688,470370134002,268,Richland Creek Creenway - Knob Road Connector,2010
4400,470370134003,24,Richland,1907
4400,470370134003,151,Sylvan Park School Playground,2002
3926,470370135001,,,
