,index,label
27055,B25001_001E,Estimate!!Total
4921,B25002_001E,Estimate!!Total:
4924,B25002_002E,Estimate!!Total:!!Occupied
4929,B25002_003E,Estimate!!Total:!!Vacant
25785,B25003A_001E,Estimate!!Total:
25783,B25003A_002E,Estimate!!Total:!!Owner occupied
25790,B25003A_003E,Estimate!!Total:!!Renter occupied
6021,B25003B_001E,Estimate!!Total:
6025,B25003B_002E,Estimate!!Total:!!Owner occupied
6029,B25003B_003E,Estimate!!Total:!!Renter occupied
934,B25003C_001E,Estimate!!Total:
964,B25003C_002E,Estimate!!Total:!!Owner occupied
953,B25003C_003E,Estimate!!Total:!!Renter occupied
7188,B25003D_001E,Estimate!!Total:
7179,B25003D_002E,Estimate!!Total:!!Owner occupied
7173,B25003D_003E,Estimate!!Total:!!Renter occupied
15429,B25003E_001E,Estimate!!Total:
15406,B25003E_002E,Estimate!!Total:!!Owner occupied
15399,B25003E_003E,Estimate!!Total:!!Renter occupied
23817,B25003F_001E,Estimate!!Total:
23823,B25003F_002E,Estimate!!Total:!!Owner occupied
23807,B25003F_003E,Estimate!!Total:!!Renter occupied
4494,B25003G_001E,Estimate!!Total:
4495,B25003G_002E,Estimate!!Total:!!Owner occupied
4496,B25003G_003E,Estimate!!Total:!!Renter occupied
11880,B25003H_001E,Estimate!!Total:
11883,B25003H_002E,Estimate!!Total:!!Owner occupied
11876,B25003H_003E,Estimate!!Total:!!Renter occupied
21031,B25003I_001E,Estimate!!Total:
20940,B25003I_002E,Estimate!!Total:!!Owner occupied
20935,B25003I_003E,Estimate!!Total:!!Renter occupied
10437,B25003_001E,Estimate!!Total:
10427,B25003_002E,Estimate!!Total:!!Owner occupied
10223,B25003_003E,Estimate!!Total:!!Renter occupied
9705,B25004_001E,Estimate!!Total:
9699,B25004_002E,Estimate!!Total:!!For rent
9691,B25004_003E,"Estimate!!Total:!!Rented, not occupied"
9683,B25004_004E,Estimate!!Total:!!For sale only
9676,B25004_005E,"Estimate!!Total:!!Sold, not occupied"
9679,B25004_006E,"Estimate!!Total:!!For seasonal, recreational, or occasional use"
9737,B25004_007E,Estimate!!Total:!!For migrant workers
9733,B25004_008E,Estimate!!Total:!!Other vacant
16101,B25005_001E,Estimate!!Total:
16109,B25005_002E,Estimate!!Total:!!Vacant - current residence elsewhere
16119,B25005_003E,Estimate!!Total:!!All other vacant units
22380,B25006_001E,Estimate!!Total:
22358,B25006_002E,Estimate!!Total:!!Householder who is White alone
22366,B25006_003E,Estimate!!Total:!!Householder who is Black or African American alone
22364,B25006_004E,Estimate!!Total:!!Householder who is American Indian and Alaska Native alone
22284,B25006_005E,Estimate!!Total:!!Householder who is Asian alone
22288,B25006_006E,Estimate!!Total:!!Householder who is Native Hawaiian and Other Pacific Islander alone
22274,B25006_007E,Estimate!!Total:!!Householder who is Some other race alone
